tipo_celular,module_size,MED28_MM,MED28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.093,8.0,102,29,28.43,2.28 (1.90-2.67),73,71.57,4.02 (3.58-4.45)
T cells 18,506.0,0.129,24.0,225,11,4.89,2.08 (1.53-2.63),214,95.11,3.72 (3.47-3.98)
astrocytes 5,1656.0,0.131,75.0,136,8,5.88,3.03 (1.94-4.11),128,94.12,3.22 (2.94-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,55,15.58,2.17 (1.86-2.48),298,84.42,4.32 (4.15-4.50)
GABA neurons expressing GLU receptors 22,703.0,0.245,81.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,172.0,0.084,5.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.071,10.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,403.0,0.039,8.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73)
GABA like neurons 14,3052.0,0.095,15.0,125,3,2.4,4.23 (3.75-4.71),122,97.6,3.33 (2.99-3.66)
astrocytes 8,727.0,0.09,38.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.073,43.0,276,46,16.67,2.20 (1.93-2.48),230,83.33,3.92 (3.68-4.16)
oligodendrocytes 10,483.0,0.086,35.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82)
connective tissue cells 21,57.0,0.104,2.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458.0,0.047,15.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,74.0,0.082,2.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.436,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.164,84.0,104,27,25.96,2.02 (1.54-2.51),77,74.04,3.19 (2.88-3.50)
oligodendrocytes 0,2078.0,0.13,81.0,238,18,7.56,2.95 (2.39-3.51),220,92.44,3.70 (3.47-3.94)
microglia 1,1615.0,0.114,57.0,161,49,30.43,1.97 (1.70-2.23),112,69.57,4.04 (3.76-4.33)
oligodendrocytes 3,681.0,0.077,33.0,87,41,47.13,2.01 (1.76-2.26),46,52.87,3.19 (2.77-3.60)
oligodendrocytes 2,1630.0,0.15,67.0,154,5,3.25,4.12 (3.43-4.81),149,96.75,3.21 (2.94-3.48)
