tipo_celular,module_size,DCAF6_MM,DCAF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.115,17.0,102,29,28.43,2.20 (1.85-2.55),73,71.57,4.06 (3.62-4.49)
T cells 18,477.0,0.197,72.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.138,61.0,166,34,20.48,2.24 (1.87-2.60),132,79.52,3.77 (3.49-4.05)
oligodendrocyte progenitor cells 7,4285.0,0.182,98.0,353,57,16.15,2.17 (1.86-2.48),296,83.85,4.33 (4.15-4.50)
GABA neurons expressing GLU receptors 22,567.0,0.118,15.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685.0,0.119,41.0,135,24,17.78,1.88 (1.50-2.26),111,82.22,3.50 (3.16-3.84)
da like neurons 11,142.0,0.244,54.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.183,84.0,297,4,1.35,4.75 (4.33-5.17),293,98.65,3.66 (3.45-3.87)
oligodendrocytes 20,253.0,0.082,20.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.26,100.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67)
astrocytes 8,1266.0,0.047,12.0,66,19,28.79,2.07 (1.39-2.75),47,71.21,3.76 (3.32-4.20)
oligodendrocyte progenitor cells 12,3303.0,0.098,73.0,276,49,17.75,2.28 (1.99-2.58),227,82.25,3.91 (3.67-4.15)
oligodendrocytes 10,2107.0,0.333,93.0,358,65,18.16,2.20 (1.90-2.50),293,81.84,4.39 (4.21-4.57)
connective tissue cells 21,95.0,0.278,46.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA)
astrocytes 15,1768.0,0.097,60.0,105,21,20.0,2.20 (1.57-2.82),84,80.0,3.49 (3.12-3.86)
oligodendrocytes 16,88.0,0.172,34.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.079,12.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,253.0,0.262,52.0,47,8,17.02,2.56 (1.89-3.23),39,82.98,2.91 (2.54-3.29)
astrocytes 4,752.0,0.179,88.0,96,8,8.33,2.56 (2.19-2.93),88,91.67,3.37 (3.01-3.73)
oligodendrocytes 0,1186.0,0.126,23.0,300,6,2.0,3.24 (2.99-3.49),294,98.0,3.81 (3.60-4.02)
microglia 1,813.0,0.203,93.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.099,54.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,921.0,0.133,42.0,200,4,2.0,3.05 (1.16-4.94),196,98.0,3.63 (3.36-3.90)
