tipo_celular,module_size,ELP3_MM,ELP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.222,59.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,610.0,0.148,47.0,98,32,32.65,1.66 (1.34-1.97),66,67.35,3.95 (3.67-4.24)
astrocytes 5,1656.0,0.142,88.0,136,7,5.15,2.32 (1.33-3.31),129,94.85,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,54,15.3,2.05 (1.74-2.35),299,84.7,4.35 (4.17-4.52)
GABA neurons expressing GLU receptors 22,848.0,0.1,6.0,262,14,5.34,3.34 (2.34-4.33),248,94.66,4.22 (3.97-4.48)
GLU like neurons 17,1316.0,0.109,37.0,101,3,2.97,2.78 (2.51-3.05),98,97.03,3.06 (2.70-3.43)
da like neurons 11,197.0,0.16,34.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.125,48.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,403.0,0.056,21.0,18,11,61.11,1.09 (0.59-1.60),7,38.89,3.11 (2.07-4.15)
GABA like neurons 14,3052.0,0.201,92.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68)
astrocytes 8,771.0,0.045,10.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.035,5.0,276,44,15.94,2.04 (1.78-2.31),232,84.06,3.94 (3.71-4.17)
oligodendrocytes 10,2107.0,0.119,38.0,358,59,16.48,1.97 (1.69-2.26),299,83.52,4.40 (4.23-4.58)
connective tissue cells 21,92.0,0.305,61.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.135,86.0,105,21,20.0,1.87 (1.40-2.34),84,80.0,3.58 (3.22-3.95)
oligodendrocytes 16,121.0,0.198,40.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.324,60.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,1807.0,0.16,78.0,104,29,27.88,1.85 (1.49-2.22),75,72.12,3.30 (2.98-3.62)
oligodendrocytes 0,2078.0,0.119,61.0,238,15,6.3,2.58 (2.05-3.11),223,93.7,3.72 (3.49-3.95)
microglia 1,813.0,0.105,35.0,79,3,3.8,4.13 (2.71-5.56),76,96.2,3.06 (2.64-3.47)
oligodendrocytes 3,1003.0,0.096,51.0,111,3,2.7,4.24 (3.35-5.13),108,97.3,3.27 (2.92-3.62)
oligodendrocytes 2,921.0,0.115,17.0,200,4,2.0,2.80 (1.18-4.42),196,98.0,3.64 (3.37-3.91)
