tipo_celular,module_size,ZNF507_MM,ZNF507_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.087,8.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.145,91.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,37,10.48,1.86 (1.56-2.17),316,89.52,4.21 (4.03-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.234,89.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1247.0,0.071,10.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220.0,0.039,1.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.172,39.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.167,73.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.034,5.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.123,91.0,276,32,11.59,1.99 (1.74-2.23),244,88.41,3.82 (3.59-4.05)
oligodendrocytes 10,1277.0,0.07,24.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.277,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.047,11.0,105,8,7.62,1.04 (0.76-1.33),97,92.38,3.41 (3.07-3.74)
oligodendrocytes 16,78.0,0.318,97.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.304,52.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.184,98.0,104,14,13.46,1.30 (0.99-1.60),90,86.54,3.13 (2.84-3.42)
oligodendrocytes 0,2078.0,0.136,90.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96)
microglia 1,1615.0,0.098,31.0,161,40,24.84,1.94 (1.64-2.24),121,75.16,3.85 (3.56-4.14)
oligodendrocytes 3,743.0,0.071,35.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.129,25.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
