tipo_celular,module_size,NUP93_MM,NUP93_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.159,50.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41)
T cells 18,727.0,0.128,37.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.084,9.0,136,6,4.41,2.58 (1.15-4.01),130,95.59,3.24 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,63,17.85,3.01 (2.53-3.48),290,82.15,4.13 (3.95-4.32)
GABA neurons expressing GLU receptors 22,459.0,0.148,47.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62)
GLU like neurons 17,489.0,0.173,68.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,215.0,0.375,93.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.08,13.0,297,11,3.7,5.40 (4.71-6.09),286,96.3,3.60 (3.40-3.81)
oligodendrocytes 20,279.0,0.183,41.0,16,3,18.75,3.83 (3.16-4.50),13,81.25,2.16 (1.37-2.96)
GABA like neurons 14,1300.0,0.224,58.0,306,22,7.19,2.16 (1.73-2.59),284,92.81,5.43 (5.18-5.67)
astrocytes 8,577.0,0.031,3.0,83,2,2.41,0.87 (NA-NA),81,97.59,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.098,73.0,276,41,14.86,2.50 (2.10-2.91),235,85.14,3.76 (3.52-3.99)
oligodendrocytes 10,2107.0,0.068,13.0,358,63,17.6,2.91 (2.40-3.41),295,82.4,4.12 (3.93-4.31)
connective tissue cells 21,104.0,0.28,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.181,73.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,113.0,0.128,3.0,10,1,10.0,1.82 (NA-NA),9,90.0,3.06 (2.20-3.93)
da neurons 6,553.0,0.076,10.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,95.0,0.331,59.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,1807.0,0.121,13.0,104,20,19.23,1.94 (1.39-2.50),84,80.77,3.10 (2.80-3.41)
oligodendrocytes 0,2078.0,0.117,56.0,238,24,10.08,4.68 (3.89-5.47),214,89.92,3.52 (3.30-3.74)
microglia 1,813.0,0.105,35.0,79,3,3.8,2.68 (1.30-4.05),76,96.2,3.12 (2.70-3.54)
oligodendrocytes 3,242.0,0.064,10.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.17,37.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
