tipo_celular,module_size,ELMOD1_MM,ELMOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.284,87.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,2,0.57,5.16 (5.16-5.16),351,99.43,3.88 (3.69-4.07)
GABA neurons expressing GLU receptors 22,459.0,0.114,28.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,489.0,0.186,74.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220.0,0.084,9.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,265.0,0.193,69.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.139,21.0,455,0,0.0,NA,455,100.0,4.34 (4.15-4.53)
astrocytes 8,1266.0,0.055,20.0,66,5,7.58,4.70 (4.08-5.33),61,92.42,3.08 (2.65-3.52)
oligodendrocyte progenitor cells 12,3303.0,0.1,75.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.159,94.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.113,64.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,91.0,0.364,85.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.258,84.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
