tipo_celular,module_size,ATAT1_MM,ATAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.06,1.0,136,2,1.47,2.64 (1.31-3.96),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.092,6.0,353,32,9.07,2.02 (1.58-2.46),321,90.93,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,459.0,0.051,3.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.104,16.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,262.0,0.078,17.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.048,15.0,32,9,28.12,1.41 (0.54-2.28),23,71.88,4.12 (3.23-5.00)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.056,22.0,96,8,8.33,3.08 (2.27-3.88),88,91.67,3.67 (3.18-4.16)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.445,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.149,59.0,104,14,13.46,1.85 (1.25-2.44),90,86.54,3.04 (2.74-3.33)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
