tipo_celular,module_size,KIAA0753_MM,KIAA0753_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.13,74.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.118,24.0,353,25,7.08,2.21 (1.65-2.76),328,92.92,4.04 (3.86-4.23)
GABA neurons expressing GLU receptors 22,459.0,0.133,37.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247.0,0.096,23.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,853.0,0.197,82.0,133,9,6.77,1.77 (0.93-2.60),124,93.23,3.38 (3.06-3.70)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.121,27.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,260.0,0.037,5.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,12,4.35,2.59 (1.79-3.38),264,95.65,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.278,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.199,82.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.374,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.187,99.0,104,5,4.81,2.06 (0.54-3.58),99,95.19,2.91 (2.62-3.19)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
