tipo_celular,module_size,ZNF75D_MM,ZNF75D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.195,41.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624.0,0.146,45.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.122,35.0,166,17,10.24,1.63 (1.30-1.95),149,89.76,3.64 (3.39-3.89)
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,28,7.93,1.79 (1.53-2.04),325,92.07,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,567.0,0.11,12.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.076,10.0,91,1,1.1,0.21 (NA-NA),90,98.9,4.60 (4.09-5.12)
da like neurons 11,209.0,0.099,9.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.117,42.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.091,13.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.044,13.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,27,9.78,1.70 (1.48-1.92),249,90.22,3.81 (3.59-4.04)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.272,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.324,99.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.28,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.148,57.0,104,15,14.42,1.32 (1.03-1.60),89,85.58,3.15 (2.86-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.117,52.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
