tipo_celular,module_size,STARD9_MM,STARD9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.307,90.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,282.0,0.105,23.0,241,3,1.24,3.49 (2.25-4.72),238,98.76,4.07 (3.81-4.32)
astrocytes 5,499.0,0.12,22.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,22,6.23,1.71 (1.17-2.25),331,93.77,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,567.0,0.192,50.0,16,4,25.0,2.91 (1.29-4.54),12,75.0,1.72 (1.02-2.41)
GLU like neurons 17,489.0,0.103,25.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,204.0,0.249,73.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.18,50.0,54,2,3.7,4.29 (NA-NA),52,96.3,4.85 (4.21-5.50)
oligodendrocytes 20,275.0,0.034,5.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.129,41.0,125,3,2.4,4.19 (3.46-4.92),122,97.6,3.34 (3.01-3.66)
astrocytes 8,771.0,0.173,61.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.092,38.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.165,79.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,103.0,0.307,65.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401.0,0.084,48.0,96,7,7.29,2.99 (2.06-3.92),89,92.71,3.67 (3.19-4.16)
oligodendrocytes 16,112.0,0.126,12.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.3,43.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.109,6.0,104,5,4.81,0.88 (0.28-1.49),99,95.19,2.97 (2.69-3.25)
oligodendrocytes 0,1186.0,0.192,98.0,300,6,2.0,3.41 (2.88-3.94),294,98.0,3.80 (3.59-4.01)
microglia 1,346.0,0.119,29.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.105,59.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.18,42.0,114,1,0.88,4.57 (NA-NA),113,99.12,5.12 (4.71-5.54)
