tipo_celular,module_size,CAMKMT_MM,CAMKMT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.094,8.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,624.0,0.104,15.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.132,51.0,166,15,9.04,2.83 (1.85-3.82),151,90.96,3.46 (3.20-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,20,5.67,1.66 (1.13-2.18),333,94.33,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,567.0,0.235,67.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,795.0,0.113,40.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,102.0,0.426,88.0,8,4,50.0,0.95 (NA-NA),4,50.0,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.237,97.0,297,5,1.68,2.53 (NA-NA),292,98.32,3.68 (3.47-3.88)
oligodendrocytes 20,279.0,0.294,75.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.218,56.0,306,17,5.56,2.27 (1.71-2.84),289,94.44,5.31 (5.06-5.57)
astrocytes 8,771.0,0.154,56.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.148,65.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.396,97.0,358,30,8.38,1.56 (1.09-2.03),328,91.62,4.08 (3.89-4.26)
connective tissue cells 21,139.0,0.25,18.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768.0,0.108,70.0,105,11,10.48,1.82 (1.24-2.39),94,89.52,3.39 (3.04-3.74)
oligodendrocytes 16,82.0,0.304,96.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.275,63.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,255.0,0.172,51.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.15,60.0,300,7,2.33,3.24 (2.72-3.75),293,97.67,3.80 (3.59-4.01)
microglia 1,813.0,0.148,78.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.183,94.0,87,13,14.94,2.16 (1.35-2.97),74,85.06,2.67 (2.38-2.95)
oligodendrocytes 2,347.0,0.146,21.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
