tipo_celular,module_size,MAP3K4_MM,MAP3K4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.128,30.0,71,7,9.86,1.78 (1.10-2.47),64,90.14,2.73 (2.28-3.18)
T cells 18,727.0,0.233,95.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141.0,0.108,20.0,166,27,16.27,2.43 (1.97-2.90),139,83.73,3.63 (3.35-3.90)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,40,11.33,2.36 (1.98-2.73),313,88.67,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,1069.0,0.098,9.0,37,1,2.7,1.52 (NA-NA),36,97.3,2.18 (1.71-2.64)
GLU like neurons 17,1316.0,0.043,1.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,71.0,0.365,63.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.102,28.0,297,7,2.36,4.56 (3.13-5.98),290,97.64,3.65 (3.44-3.86)
oligodendrocytes 20,938.0,0.023,2.0,169,6,3.55,1.62 (0.56-2.69),163,96.45,3.56 (3.35-3.78)
GABA like neurons 14,3052.0,0.18,83.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,262.0,0.126,45.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.121,90.0,276,38,13.77,2.45 (2.10-2.80),238,86.23,3.78 (3.54-4.02)
oligodendrocytes 10,2107.0,0.185,64.0,358,52,14.53,2.53 (2.14-2.92),306,85.47,4.19 (3.99-4.38)
connective tissue cells 21,106.0,0.217,14.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,458.0,0.148,73.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,82.0,0.194,44.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.238,13.0,11,3,27.27,5.03 (4.76-5.30),8,72.73,4.06 (3.37-4.75)
astrocytes 4,787.0,0.173,86.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.158,72.0,300,24,8.0,4.26 (3.81-4.72),276,92.0,3.74 (3.52-3.96)
microglia 1,1615.0,0.116,60.0,161,39,24.22,2.37 (2.01-2.73),122,75.78,3.65 (3.33-3.97)
oligodendrocytes 3,681.0,0.11,63.0,87,20,22.99,1.92 (1.46-2.37),67,77.01,2.80 (2.49-3.12)
oligodendrocytes 2,921.0,0.162,86.0,200,3,1.5,2.04 (1.17-2.91),197,98.5,3.65 (3.38-3.92)
