tipo_celular,module_size,MCCC1_MM,MCCC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.114,17.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,727.0,0.173,72.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,932.0,0.084,13.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,23,6.52,1.47 (1.05-1.89),330,93.48,4.11 (3.94-4.29)
GABA neurons expressing GLU receptors 22,1069.0,0.138,30.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.118,45.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,289.0,0.153,37.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.126,22.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,298.0,0.232,79.0,6,2,33.33,NA,4,66.67,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.148,46.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,354.0,0.154,68.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.078,30.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.121,58.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,104.0,0.319,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.076,39.0,105,13,12.38,1.62 (1.11-2.12),92,87.62,3.46 (3.11-3.81)
oligodendrocytes 16,199.0,0.152,33.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.252,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.171,83.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.139,39.0,300,2,0.67,NA,298,99.33,3.79 (3.59-4.00)
microglia 1,1615.0,0.139,83.0,161,21,13.04,1.40 (0.96-1.83),140,86.96,3.63 (3.37-3.89)
oligodendrocytes 3,1003.0,0.099,54.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.147,43.0,122,15,12.3,1.48 (0.93-2.04),107,87.7,3.67 (3.27-4.08)
