tipo_celular,module_size,WDR6_MM,WDR6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.132,40.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,328.0,0.099,15.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,41,11.61,2.22 (1.69-2.74),312,88.39,4.19 (4.01-4.36)
GABA neurons expressing GLU receptors 22,400.0,0.231,70.0,24,10,41.67,1.53 (0.52-2.54),14,58.33,2.60 (2.22-2.98)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.161,65.0,18,10,55.56,0.98 (0.46-1.49),8,44.44,3.01 (2.09-3.92)
GABA like neurons 14,2402.0,0.113,12.0,455,25,5.49,2.01 (1.23-2.78),430,94.51,4.53 (4.35-4.70)
astrocytes 8,603.0,0.081,53.0,89,9,10.11,1.40 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,735.0,0.061,21.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,112.0,0.367,93.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,367.0,0.147,51.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,61.0,0.121,7.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.369,85.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,721.0,0.185,95.0,61,2,3.28,6.84 (6.16-7.51),59,96.72,2.83 (2.45-3.20)
oligodendrocytes 0,2078.0,0.095,14.0,238,10,4.2,3.53 (2.33-4.73),228,95.8,3.64 (3.42-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.062,9.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.149,66.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
