tipo_celular,module_size,GYS1_MM,GYS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.307,97.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,423.0,0.183,71.0,80,1,1.25,3.78 (NA-NA),79,98.75,3.40 (2.92-3.88)
oligodendrocyte progenitor cells 7,666.0,0.427,97.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,599.0,0.095,3.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,489.0,0.18,72.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,853.0,0.254,94.0,133,8,6.02,1.63 (0.72-2.53),125,93.98,3.38 (3.06-3.70)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.305,98.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577.0,0.182,88.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.042,8.0,276,9,3.26,1.59 (0.92-2.26),267,96.74,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,88.0,0.353,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.071,36.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.393,74.0,120,6,5.0,1.46 (0.54-2.39),114,95.0,3.75 (3.46-4.05)
astrocytes 4,514.0,0.259,77.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
