tipo_celular,module_size,OPCML_MM,OPCML_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.316,99.0,219,13,5.94,4.18 (3.37-4.99),206,94.06,5.30 (5.00-5.60)
GABA neurons expressing GLU receptors 22,459.0,0.275,85.0,165,10,6.06,3.13 (2.65-3.61),155,93.94,5.23 (4.87-5.59)
GLU like neurons 17,685.0,0.431,98.0,135,2,1.48,0.92 (0.19-1.65),133,98.52,3.23 (2.92-3.54)
da like neurons 11,408.0,0.114,28.0,25,1,4.0,1.95 (NA-NA),24,96.0,4.75 (3.40-6.11)
GABA neurons expressing GABA receptors 13,357.0,0.151,43.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,586.0,0.221,52.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.261,96.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.334,78.0,103,5,4.85,4.05 (2.40-5.71),98,95.15,5.65 (5.26-6.04)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
