tipo_celular,module_size,CDHR3_MM,CDHR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.111,10.0,98,4,4.08,5.03 (1.70-8.36),94,95.92,4.58 (4.18-4.98)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.185,78.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,140.0,0.198,42.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.21,83.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,279.0,0.365,94.0,78,7,8.97,2.99 (2.22-3.75),71,91.03,4.47 (4.03-4.91)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.13,52.0,54,5,9.26,3.14 (1.69-4.58),49,90.74,3.73 (3.27-4.19)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.368,90.0,30,7,23.33,4.08 (1.73-6.43),23,76.67,6.13 (5.29-6.97)
astrocytes 4,251.0,0.13,22.0,34,4,11.76,3.35 (2.24-4.46),30,88.24,5.61 (5.02-6.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
