tipo_celular,module_size,RPL35A_MM,RPL35A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.304,60.0,98,34,34.69,3.23 (2.56-3.90),64,65.31,3.20 (2.54-3.86)
T cells 18,506.0,0.327,80.0,225,33,14.67,3.21 (2.52-3.90),192,85.33,3.69 (3.43-3.96)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.387,96.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56)
GABA neurons expressing GLU receptors 22,487.0,0.577,100.0,73,17,23.29,2.98 (2.24-3.72),56,76.71,2.68 (2.23-3.13)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.199,56.0,410,24,5.85,3.28 (2.67-3.89),386,94.15,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,417.0,0.136,31.0,213,35,16.43,2.40 (1.82-2.99),178,83.57,4.06 (3.82-4.31)
endothelial cells 9,916.0,0.569,97.0,302,17,5.63,3.97 (2.97-4.97),285,94.37,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.219,85.0,169,25,14.79,3.08 (2.42-3.73),144,85.21,3.55 (3.32-3.78)
GABA like neurons 14,2402.0,0.645,97.0,455,40,8.79,2.75 (2.10-3.41),415,91.21,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.455,98.0,235,23,9.79,4.15 (3.38-4.92),212,90.21,3.79 (3.54-4.03)
oligodendrocytes 10,483.0,0.36,87.0,129,16,12.4,4.52 (3.74-5.29),113,87.6,3.23 (2.81-3.66)
connective tissue cells 21,301.0,0.419,61.0,158,19,12.03,3.36 (2.50-4.22),139,87.97,4.44 (4.04-4.83)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.355,94.0,102,38,37.25,2.73 (2.14-3.32),64,62.75,3.75 (3.39-4.10)
da neurons 6,729.0,0.241,86.0,182,22,12.09,3.51 (2.69-4.33),160,87.91,3.66 (3.39-3.92)
astrocytes microglia 23,157.0,0.349,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.21,69.0,252,41,16.27,2.76 (2.12-3.40),211,83.73,4.40 (4.16-4.65)
microglia 1,406.0,0.433,81.0,278,9,3.24,4.17 (3.08-5.27),269,96.76,4.37 (4.09-4.65)
oligodendrocytes 3,303.0,0.224,80.0,154,13,8.44,4.61 (3.64-5.58),141,91.56,3.51 (3.18-3.84)
oligodendrocytes 2,526.0,0.315,66.0,213,10,4.69,4.48 (3.35-5.61),203,95.31,3.95 (3.67-4.23)
