tipo_celular,module_size,TMEM267_MM,TMEM267_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.077,6.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,518.0,0.102,16.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.082,7.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.165,90.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,400.0,0.242,74.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,795.0,0.183,72.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,137.0,0.189,22.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.137,48.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.096,42.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.046,13.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,250.0,0.129,3.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,261.0,0.158,55.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.437,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.16,77.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.075,6.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
