tipo_celular,module_size,CADPS_MM,CADPS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.522,100.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70)
oligodendrocyte progenitor cells 7,436.0,0.048,4.0,219,3,1.37,5.71 (3.66-7.76),216,98.63,5.20 (4.91-5.49)
GABA neurons expressing GLU receptors 22,459.0,0.3,89.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,1247.0,0.241,93.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,191.0,0.442,84.0,93,5,5.38,5.07 (3.70-6.43),88,94.62,5.69 (5.27-6.12)
GABA neurons expressing GABA receptors 13,266.0,0.281,91.0,118,7,5.93,5.42 (4.88-5.96),111,94.07,4.68 (4.30-5.06)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.051,16.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.162,28.0,306,14,4.58,2.76 (1.60-3.92),292,95.42,5.25 (4.99-5.51)
astrocytes 8,520.0,0.152,61.0,288,15,5.21,3.94 (3.07-4.80),273,94.79,4.19 (3.98-4.39)
oligodendrocyte progenitor cells 12,254.0,0.2,31.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,806.0,0.425,92.0,261,6,2.3,3.27 (2.14-4.41),255,97.7,4.40 (4.15-4.65)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.144,88.0,96,3,3.12,1.95 (1.78-2.12),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,149.0,0.285,72.0,70,1,1.43,7.70 (NA-NA),69,98.57,5.61 (5.13-6.08)
da neurons 6,300.0,0.297,86.0,159,6,3.77,6.37 (5.89-6.84),153,96.23,4.26 (3.95-4.57)
astrocytes microglia 23,91.0,0.412,95.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.245,80.0,22,1,4.55,7.70 (NA-NA),21,95.45,4.34 (3.46-5.23)
oligodendrocytes 0,116.0,0.174,54.0,169,3,1.78,3.61 (0.61-6.62),166,98.22,4.29 (3.99-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.232,87.0,345,10,2.9,3.34 (2.47-4.20),335,97.1,4.30 (4.09-4.52)
oligodendrocytes 2,99.0,0.18,33.0,116,1,0.86,NA,115,99.14,3.96 (3.66-4.26)
