tipo_celular,module_size,SETBP1_MM,SETBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.225,60.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,393.0,0.364,92.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,499.0,0.135,32.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.081,18.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.247,79.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,489.0,0.19,77.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,209.0,0.5,99.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.443,92.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,221.0,0.315,84.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300.0,0.253,71.0,306,12,3.92,1.78 (0.92-2.64),294,96.08,5.23 (4.97-5.48)
astrocytes 8,771.0,0.063,20.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,103.0,0.495,72.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,1277.0,0.137,68.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.421,90.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1401.0,0.046,14.0,96,2,2.08,2.96 (0.79-5.13),94,97.92,3.63 (3.17-4.09)
oligodendrocytes 16,199.0,0.254,92.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.281,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.11,15.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.065,1.0,300,5,1.67,NA,295,98.33,3.79 (3.59-4.00)
microglia 1,813.0,0.164,84.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50)
oligodendrocytes 3,242.0,0.27,93.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.283,81.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
