tipo_celular,module_size,EIF2B1_MM,EIF2B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,20,5.67,2.03 (1.26-2.80),333,94.33,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.227,61.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.103,20.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.037,5.0,32,2,6.25,1.89 (-1.31-5.09),30,93.75,3.35 (2.51-4.19)
oligodendrocytes 10,2107.0,0.043,4.0,358,24,6.7,1.66 (1.10-2.23),334,93.3,4.07 (3.88-4.25)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,86.0,0.086,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.284,26.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.109,39.0,238,3,1.26,2.79 (-0.25-5.84),235,98.74,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.081,50.0,76,2,2.63,3.66 (1.58-5.75),74,97.37,3.14 (2.74-3.55)
oligodendrocytes 2,1630.0,0.17,94.0,154,5,3.25,3.23 (2.07-4.38),149,96.75,3.25 (2.97-3.52)
