tipo_celular,module_size,IFT140_MM,IFT140_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.118,64.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.161,34.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,229.0,0.188,43.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,215.0,0.44,97.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.185,71.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.101,68.0,66,20,30.3,2.15 (1.45-2.84),46,69.7,3.72 (3.28-4.17)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,88.0,0.305,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.023,4.0,54,2,3.7,4.33 (4.33-4.33),52,96.3,3.65 (3.20-4.11)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,63.0,0.286,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.138,26.0,65,10,15.38,4.27 (3.68-4.86),55,84.62,2.79 (2.37-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
