tipo_celular,module_size,EFHC1_MM,EFHC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.151,76.0,166,8,4.82,1.66 (0.70-2.62),158,95.18,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,18,5.1,1.54 (0.94-2.15),335,94.9,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,714.0,0.171,45.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.106,35.0,80,13,16.25,6.10 (5.17-7.02),67,83.75,5.59 (5.13-6.05)
da like neurons 11,89.0,0.238,47.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.368,90.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.084,10.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,262.0,0.199,78.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.06,26.0,276,9,3.26,1.73 (0.74-2.72),267,96.74,3.60 (3.39-3.82)
oligodendrocytes 10,1277.0,0.047,10.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,147.0,0.158,12.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1401.0,0.048,15.0,96,8,8.33,3.50 (2.49-4.52),88,91.67,3.62 (3.14-4.11)
oligodendrocytes 16,64.0,0.202,59.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.274,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.172,85.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078.0,0.106,33.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.077,34.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.123,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
