tipo_celular,module_size,ANP32A_MM,ANP32A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.161,40.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,518.0,0.121,25.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,423.0,0.139,42.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,26,7.37,2.04 (1.50-2.59),327,92.63,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,567.0,0.213,59.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.057,2.0,302,3,0.99,2.06 (0.05-4.07),299,99.01,4.01 (3.78-4.23)
oligodendrocytes 20,279.0,0.126,17.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.094,11.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.1,61.0,83,2,2.41,0.87 (NA-NA),81,97.59,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,1049.0,0.038,7.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06)
oligodendrocytes 10,2107.0,0.179,62.0,358,27,7.54,1.91 (1.37-2.45),331,92.46,4.08 (3.89-4.27)
connective tissue cells 21,88.0,0.25,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.152,50.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,92.0,0.142,19.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.243,38.0,57,3,5.26,2.74 (2.51-2.97),54,94.74,2.65 (2.26-3.03)
astrocytes 4,514.0,0.138,19.0,95,5,5.26,1.16 (0.64-1.68),90,94.74,3.50 (3.07-3.92)
oligodendrocytes 0,1186.0,0.121,18.0,300,3,1.0,2.88 (1.28-4.48),297,99.0,3.80 (3.59-4.01)
microglia 1,1615.0,0.09,22.0,161,21,13.04,1.79 (1.20-2.37),140,86.96,3.55 (3.28-3.82)
oligodendrocytes 3,187.0,0.098,44.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,804.0,0.121,14.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
