tipo_celular,module_size,MAP7D2_MM,MAP7D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.2,62.0,251,3,1.2,4.54 (3.94-5.14),248,98.8,4.06 (3.81-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.12,11.0,262,3,1.15,1.23 (0.23-2.23),259,98.85,4.21 (3.96-4.45)
GLU like neurons 17,300.0,0.267,93.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,1220.0,0.137,32.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,357.0,0.284,87.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.101,9.0,455,4,0.88,0.82 (-0.10-1.74),451,99.12,4.38 (4.20-4.57)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.138,96.0,276,3,1.09,2.57 (0.61-4.52),273,98.91,3.56 (3.34-3.77)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.293,86.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
