tipo_celular,module_size,TMED2_MM,TMED2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.165,50.0,164,19,11.59,3.87 (3.24-4.51),145,88.41,4.11 (3.75-4.47)
GABA neurons expressing GLU receptors 22,848.0,0.125,13.0,262,31,11.83,3.33 (2.86-3.79),231,88.17,4.31 (4.04-4.58)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.151,41.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,916.0,0.1,14.0,302,13,4.3,2.66 (1.90-3.41),289,95.7,4.05 (3.82-4.28)
oligodendrocytes 20,358.0,0.159,53.0,31,5,16.13,3.66 (3.44-3.89),26,83.87,2.10 (1.65-2.55)
GABA like neurons 14,2402.0,0.252,56.0,455,55,12.09,3.36 (2.95-3.76),400,87.91,4.52 (4.32-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.067,32.0,235,14,5.96,3.60 (2.99-4.22),221,94.04,3.84 (3.59-4.08)
oligodendrocytes 10,735.0,0.121,63.0,277,1,0.36,5.02 (NA-NA),276,99.64,3.89 (3.64-4.13)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,66.0,0.275,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.072,8.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,39.0,0.437,85.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.091,8.0,252,30,11.9,2.65 (2.09-3.22),222,88.1,4.34 (4.08-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.068,13.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,528.0,0.198,49.0,175,20,11.43,3.22 (2.85-3.59),155,88.57,4.58 (4.19-4.97)
