tipo_celular,module_size,GMCL1_MM,GMCL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.19,68.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.152,38.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.201,64.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.105,34.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,102.0,0.23,44.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.064,5.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,298.0,0.064,23.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.12,34.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,4,1.45,1.22 (0.43-2.02),272,98.55,3.57 (3.36-3.79)
oligodendrocytes 10,2107.0,0.138,47.0,358,8,2.23,0.72 (0.33-1.11),350,97.77,3.96 (3.77-4.14)
connective tissue cells 21,110.0,0.301,67.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.146,29.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.314,48.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.128,79.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.093,65.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.106,9.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
