tipo_celular,module_size,EPC1_MM,EPC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.128,27.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388.0,0.114,27.0,84,9,10.71,2.69 (2.12-3.26),75,89.29,3.01 (2.65-3.37)
astrocytes 5,1141.0,0.125,41.0,166,52,31.33,2.57 (2.26-2.87),114,68.67,3.88 (3.56-4.20)
oligodendrocyte progenitor cells 7,448.0,0.185,77.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069.0,0.131,24.0,37,6,16.22,2.19 (1.75-2.64),31,83.78,2.15 (1.61-2.69)
GLU like neurons 17,637.0,0.043,2.0,91,14,15.38,1.61 (0.95-2.27),77,84.62,5.31 (4.86-5.76)
da like neurons 11,82.0,0.432,87.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.191,87.0,297,20,6.73,3.89 (3.39-4.39),277,93.27,3.66 (3.44-3.87)
oligodendrocytes 20,250.0,0.298,80.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300.0,0.131,17.0,306,17,5.56,2.24 (1.68-2.81),289,94.44,5.35 (5.10-5.60)
astrocytes 8,1266.0,0.097,65.0,66,23,34.85,2.03 (1.54-2.51),43,65.15,4.04 (3.58-4.49)
oligodendrocyte progenitor cells 12,138.0,0.497,71.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.209,71.0,358,106,29.61,2.73 (2.47-3.00),252,70.39,4.56 (4.36-4.76)
connective tissue cells 21,92.0,0.221,15.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.135,86.0,105,26,24.76,1.90 (1.52-2.27),79,75.24,3.67 (3.29-4.05)
oligodendrocytes 16,81.0,0.203,68.0,3,3,100.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.187,12.0,99,5,5.05,3.25 (2.73-3.77),94,94.95,4.36 (4.01-4.71)
astrocytes 4,752.0,0.118,9.0,96,18,18.75,2.91 (2.49-3.33),78,81.25,3.41 (3.00-3.81)
oligodendrocytes 0,1186.0,0.14,41.0,300,28,9.33,3.71 (3.39-4.03),272,90.67,3.80 (3.58-4.03)
microglia 1,1615.0,0.118,62.0,161,73,45.34,2.57 (2.26-2.88),88,54.66,4.12 (3.76-4.47)
oligodendrocytes 3,681.0,0.109,63.0,87,64,73.56,2.46 (2.20-2.72),23,26.44,3.04 (2.21-3.86)
oligodendrocytes 2,921.0,0.12,22.0,200,13,6.5,3.12 (2.47-3.78),187,93.5,3.66 (3.38-3.94)
