tipo_celular,module_size,CCDC12_MM,CCDC12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.119,24.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03)
T cells 18,624.0,0.089,8.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.106,34.0,136,1,0.74,2.44 (NA-NA),135,99.26,3.21 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,18,5.1,2.02 (1.16-2.88),335,94.9,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.117,18.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,289.0,0.096,12.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.106,16.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,295.0,0.218,62.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.11,11.0,455,17,3.74,2.03 (1.11-2.94),438,96.26,4.47 (4.29-4.65)
astrocytes 8,354.0,0.087,26.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,10,3.62,1.98 (1.39-2.57),266,96.38,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.083,19.0,358,17,4.75,1.69 (1.10-2.28),341,95.25,4.01 (3.82-4.20)
connective tissue cells 21,118.0,0.33,64.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,377.0,0.128,32.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,75.0,0.265,87.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.305,46.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.122,14.0,104,12,11.54,1.90 (1.35-2.44),92,88.46,3.00 (2.70-3.30)
oligodendrocytes 0,2078.0,0.08,4.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,346.0,0.069,3.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,187.0,0.054,9.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.148,64.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
