tipo_celular,module_size,XKR6_MM,XKR6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.154,44.0,32,3,9.38,4.81 (4.24-5.38),29,90.62,3.64 (2.81-4.47)
T cells 18,610.0,0.19,75.0,98,3,3.06,2.20 (0.22-4.18),95,96.94,3.15 (2.83-3.47)
astrocytes 5,156.0,0.124,35.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.096,27.0,219,3,1.37,3.43 (2.30-4.55),216,98.63,5.25 (4.96-5.54)
GABA neurons expressing GLU receptors 22,714.0,0.143,28.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,795.0,0.257,88.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,197.0,0.236,58.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.206,91.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.426,100.0,306,13,4.25,1.97 (1.52-2.43),293,95.75,5.30 (5.05-5.56)
astrocytes 8,727.0,0.049,9.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254.0,0.386,81.0,37,4,10.81,2.71 (2.38-3.03),33,89.19,4.76 (4.16-5.36)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.298,63.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,367.0,0.142,48.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.263,23.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,161.0,0.102,6.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.151,89.0,161,2,1.24,1.56 (-1.10-4.22),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
