tipo_celular,module_size,SYNM_MM,SYNM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.09,8.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.085,9.0,410,5,1.22,3.28 (1.23-5.32),405,98.78,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.189,44.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,938.0,0.088,31.0,169,4,2.37,1.36 (0.14-2.59),165,97.63,3.54 (3.33-3.76)
GABA like neurons 14,2402.0,0.11,11.0,455,8,1.76,1.48 (0.48-2.48),447,98.24,4.41 (4.23-4.60)
astrocytes 8,577.0,0.086,51.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.146,45.0,261,7,2.68,4.33 (3.10-5.56),254,97.32,4.37 (4.12-4.61)
connective tissue cells 21,88.0,0.211,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.084,49.0,96,9,9.38,3.50 (2.49-4.52),87,90.62,3.62 (3.14-4.11)
oligodendrocytes 16,78.0,0.141,19.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.124,64.0,122,7,5.74,1.18 (0.67-1.69),115,94.26,4.22 (3.83-4.60)
astrocytes microglia 23,67.0,0.291,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.216,74.0,12,1,8.33,NA,11,91.67,4.62 (3.76-5.48)
oligodendrocytes 0,613.0,0.096,7.0,127,1,0.79,4.08 (NA-NA),126,99.21,3.04 (2.62-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.132,75.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,528.0,0.245,71.0,175,2,1.14,1.29 (NA-NA),173,98.86,4.40 (4.06-4.75)
