tipo_celular,module_size,SH3GL2_MM,SH3GL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.167,60.0,80,4,5.0,3.37 (1.09-5.65),76,95.0,3.40 (2.92-3.89)
oligodendrocyte progenitor cells 7,666.0,0.17,53.0,127,26,20.47,3.64 (2.94-4.34),101,79.53,3.91 (3.53-4.29)
GABA neurons expressing GLU receptors 22,459.0,0.231,75.0,165,18,10.91,2.97 (2.31-3.64),147,89.09,5.46 (5.12-5.80)
GLU like neurons 17,1316.0,0.076,11.0,101,2,1.98,3.19 (2.81-3.56),99,98.02,3.05 (2.69-3.41)
da like neurons 11,94.0,0.357,80.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.234,82.0,118,2,1.69,2.83 (2.65-3.01),116,98.31,4.78 (4.42-5.14)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.107,10.0,306,56,18.3,3.92 (3.30-4.53),250,81.7,5.48 (5.22-5.74)
astrocytes 8,577.0,0.111,66.0,83,8,9.64,2.83 (1.81-3.86),75,90.36,3.30 (2.81-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.122,90.0,276,35,12.68,2.47 (2.02-2.92),241,87.32,3.75 (3.51-3.98)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.091,53.0,105,18,17.14,1.66 (1.30-2.02),87,82.86,3.57 (3.21-3.93)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.1,32.0,235,3,1.28,1.66 (0.13-3.19),232,98.72,4.02 (3.77-4.27)
astrocytes microglia 23,255.0,0.241,34.0,57,7,12.28,2.83 (2.36-3.31),50,87.72,2.63 (2.22-3.03)
astrocytes 4,514.0,0.194,57.0,95,7,7.37,1.95 (0.62-3.28),88,92.63,3.50 (3.07-3.93)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
