tipo_celular,module_size,LIN54_MM,LIN54_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.26,72.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.15,56.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.111,42.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.125,35.0,353,44,12.46,1.78 (1.48-2.07),309,87.54,4.30 (4.13-4.47)
GABA neurons expressing GLU receptors 22,400.0,0.158,27.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14)
GLU like neurons 17,1247.0,0.055,4.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,153.0,0.282,66.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.062,22.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.138,49.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,727.0,0.077,29.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,36,13.04,1.81 (1.58-2.03),240,86.96,3.90 (3.68-4.12)
oligodendrocytes 10,2107.0,0.116,37.0,358,50,13.97,1.77 (1.49-2.06),308,86.03,4.33 (4.16-4.51)
connective tissue cells 21,111.0,0.387,95.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1401.0,0.047,15.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,69.0,0.223,48.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.308,53.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.13,25.0,104,25,24.04,1.58 (1.27-1.89),79,75.96,3.31 (3.01-3.61)
oligodendrocytes 0,2078.0,0.122,65.0,238,10,4.2,2.53 (1.72-3.35),228,95.8,3.69 (3.47-3.92)
microglia 1,958.0,0.088,16.0,290,9,3.1,2.22 (1.21-3.23),281,96.9,3.87 (3.64-4.10)
oligodendrocytes 3,639.0,0.107,59.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.169,68.0,84,8,9.52,2.04 (0.87-3.21),76,90.48,2.78 (2.43-3.12)
