tipo_celular,module_size,LARP7_MM,LARP7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.143,44.0,35,3,8.57,5.98 (NA-NA),32,91.43,3.66 (2.70-4.63)
T cells 18,393.0,0.097,10.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,1656.0,0.134,80.0,136,15,11.03,3.23 (2.28-4.19),121,88.97,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.111,19.0,353,80,22.66,2.47 (2.21-2.73),273,77.34,4.46 (4.27-4.65)
GABA neurons expressing GLU receptors 22,1069.0,0.101,10.0,37,6,16.22,2.36 (1.87-2.85),31,83.78,2.11 (1.56-2.66)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.09,24.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.072,8.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,938.0,0.136,54.0,169,8,4.73,2.32 (1.28-3.36),161,95.27,3.55 (3.33-3.77)
GABA like neurons 14,2402.0,0.199,41.0,455,48,10.55,2.60 (2.07-3.13),407,89.45,4.60 (4.42-4.78)
astrocytes 8,727.0,0.135,67.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,1049.0,0.055,20.0,235,10,4.26,3.05 (2.80-3.30),225,95.74,3.85 (3.61-4.09)
oligodendrocytes 10,483.0,0.067,20.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,102.0,0.336,79.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,1768.0,0.133,84.0,105,35,33.33,2.43 (1.96-2.90),70,66.67,3.64 (3.22-4.05)
oligodendrocytes 16,105.0,0.241,65.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729.0,0.058,3.0,182,6,3.3,1.83 (1.33-2.34),176,96.7,3.71 (3.46-3.97)
astrocytes microglia 23,140.0,0.256,16.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.182,95.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.125,31.0,127,33,25.98,2.68 (2.34-3.01),94,74.02,3.24 (2.64-3.84)
microglia 1,1615.0,0.095,27.0,161,60,37.27,2.13 (1.87-2.39),101,62.73,4.22 (3.93-4.52)
oligodendrocytes 3,681.0,0.062,18.0,87,53,60.92,2.42 (2.13-2.72),34,39.08,2.89 (2.35-3.44)
oligodendrocytes 2,921.0,0.109,11.0,200,18,9.0,3.70 (2.91-4.48),182,91.0,3.61 (3.33-3.90)
