tipo_celular,module_size,NDUFB1_MM,NDUFB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.085,10.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,448.0,0.064,5.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,487.0,0.138,17.0,73,2,2.74,2.27 (0.40-4.14),71,97.26,2.77 (2.38-3.16)
GLU like neurons 17,1247.0,0.074,11.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,1220.0,0.1,16.0,410,77,18.78,3.85 (3.59-4.10),333,81.22,4.38 (4.14-4.61)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.219,54.0,302,67,22.19,3.89 (3.57-4.21),235,77.81,4.02 (3.73-4.31)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.259,57.0,455,85,18.68,3.46 (3.14-3.79),370,81.32,4.63 (4.41-4.84)
astrocytes 8,603.0,0.072,47.0,89,6,6.74,1.89 (1.05-2.74),83,93.26,2.85 (2.48-3.22)
oligodendrocyte progenitor cells 12,1049.0,0.076,39.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.098,57.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.163,56.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80)
astrocytes microglia 23,108.0,0.336,58.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807.0,0.109,5.0,104,16,15.38,1.76 (1.24-2.27),88,84.62,3.05 (2.75-3.35)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
