tipo_celular,module_size,USP40_MM,USP40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.152,43.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.128,45.0,166,4,2.41,1.87 (0.67-3.06),162,97.59,3.44 (3.18-3.69)
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,12,3.4,1.35 (0.57-2.13),341,96.6,3.99 (3.80-4.17)
GABA neurons expressing GLU receptors 22,599.0,0.224,59.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,637.0,0.112,28.0,91,7,7.69,0.94 (0.08-1.80),84,92.31,4.96 (4.48-5.43)
da like neurons 11,59.0,0.128,25.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.147,65.0,297,4,1.35,2.53 (NA-NA),293,98.65,3.68 (3.47-3.88)
oligodendrocytes 20,322.0,0.232,84.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.057,3.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,262.0,0.037,2.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.125,56.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,1277.0,0.155,74.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,73.0,0.228,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.105,24.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,113.0,0.206,74.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.217,10.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,752.0,0.157,56.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.154,53.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.124,70.0,161,10,6.21,1.35 (0.57-2.13),151,93.79,3.43 (3.16-3.70)
oligodendrocytes 3,639.0,0.156,84.0,15,6,40.0,1.29 (0.28-2.30),9,60.0,5.05 (3.62-6.47)
oligodendrocytes 2,804.0,0.201,90.0,84,3,3.57,2.23 (0.92-3.55),81,96.43,2.71 (2.36-3.06)
