tipo_celular,module_size,TRIR_MM,TRIR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.23,56.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,506.0,0.255,69.0,225,2,0.89,3.26 (-2.06-8.58),223,99.11,3.61 (3.37-3.86)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.13,25.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.133,28.0,213,6,2.82,1.34 (0.35-2.33),207,97.18,3.84 (3.60-4.08)
endothelial cells 9,916.0,0.341,77.0,302,2,0.66,3.09 (-2.57-8.75),300,99.34,3.99 (3.76-4.21)
oligodendrocytes 20,938.0,0.23,87.0,169,3,1.78,1.36 (-0.58-3.31),166,98.22,3.53 (3.31-3.74)
GABA like neurons 14,2402.0,0.343,73.0,455,7,1.54,2.32 (0.80-3.83),448,98.46,4.39 (4.20-4.57)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.131,68.0,235,1,0.43,5.98 (NA-NA),234,99.57,3.81 (3.58-4.04)
oligodendrocytes 10,735.0,0.162,80.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.228,72.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729.0,0.164,57.0,182,1,0.55,5.98 (NA-NA),181,99.45,3.62 (3.37-3.87)
astrocytes microglia 23,131.0,0.385,79.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.159,44.0,252,7,2.78,2.45 (0.99-3.91),245,97.22,4.15 (3.90-4.40)
microglia 1,406.0,0.121,26.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.091,26.0,154,1,0.65,5.98 (NA-NA),153,99.35,3.60 (3.28-3.92)
oligodendrocytes 2,526.0,0.224,38.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
