tipo_celular,module_size,FCHO1_MM,FCHO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.107,10.0,140,30,21.43,4.13 (3.72-4.54),110,78.57,4.69 (4.34-5.03)
T cells 18,610.0,0.09,9.0,98,17,17.35,1.64 (1.04-2.24),81,82.65,3.45 (3.13-3.76)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,714.0,0.09,6.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12)
GLU like neurons 17,637.0,0.109,26.0,91,16,17.58,1.72 (0.84-2.60),75,82.42,5.28 (4.84-5.72)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.069,24.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090.0,0.256,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.142,70.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.229,67.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.256,31.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.144,49.0,300,3,1.0,2.47 (2.00-2.94),297,99.0,3.81 (3.60-4.02)
microglia 1,958.0,0.116,57.0,290,14,4.83,2.08 (1.63-2.52),276,95.17,3.93 (3.69-4.16)
oligodendrocytes 3,681.0,0.094,50.0,87,11,12.64,1.98 (1.30-2.66),76,87.36,2.68 (2.39-2.97)
oligodendrocytes 2,407.0,0.172,67.0,122,17,13.93,1.50 (0.96-2.04),105,86.07,3.72 (3.32-4.13)
