tipo_celular,module_size,ENSA_MM,ENSA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.176,64.0,71,4,5.63,2.66 (0.93-4.39),67,94.37,2.62 (2.19-3.05)
T cells 18,393,0.121,27.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,932,0.227,100.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.113,20.0,353,26,7.37,2.16 (1.62-2.69),327,92.63,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,487,0.072,2.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,489,0.128,43.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.098,14.0,410,15,3.66,3.92 (2.95-4.89),395,96.34,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,200,0.176,66.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,916,0.065,3.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,348,0.213,77.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090,0.063,2.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.237,97.0,66,16,24.24,1.73 (1.13-2.34),50,75.76,3.81 (3.39-4.22)
oligodendrocyte progenitor cells 12,3303,0.108,82.0,276,18,6.52,2.32 (1.77-2.87),258,93.48,3.64 (3.42-3.87)
oligodendrocytes 10,483,0.098,42.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,111,0.165,2.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,338,0.077,7.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,116,0.186,40.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,553,0.139,58.0,124,4,3.23,2.80 (0.45-5.15),120,96.77,4.23 (3.83-4.63)
astrocytes microglia 23,190,0.249,38.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,251,0.203,76.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,2078,0.097,17.0,238,3,1.26,2.09 (-0.10-4.27),235,98.74,3.66 (3.44-3.88)
microglia 1,958,0.082,9.0,290,13,4.48,3.27 (2.25-4.30),277,95.52,3.85 (3.61-4.08)
oligodendrocytes 3,681,0.073,30.0,87,11,12.64,1.82 (1.15-2.50),76,87.36,2.69 (2.40-2.98)
oligodendrocytes 2,921,0.143,61.0,200,4,2.0,3.49 (2.51-4.46),196,98.0,3.62 (3.35-3.90)
