tipo_celular,module_size,CDH4_MM,CDH4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.165,52.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,8,2.27,1.59 (0.89-2.28),345,97.73,3.96 (3.77-4.14)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,380.0,0.11,10.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853.0,0.156,65.0,133,1,0.75,0.21 (NA-NA),132,99.25,3.28 (2.97-3.59)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.248,69.0,306,28,9.15,4.14 (3.29-5.00),278,90.85,5.22 (4.95-5.49)
astrocytes 8,1266.0,0.068,35.0,66,3,4.55,1.23 (0.23-2.23),63,95.45,3.34 (2.92-3.76)
oligodendrocyte progenitor cells 12,411.0,0.112,51.0,103,5,4.85,6.67 (5.11-8.24),98,95.15,5.47 (5.08-5.87)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.244,99.0,96,3,3.12,3.79 (2.02-5.57),93,96.88,3.61 (3.15-4.07)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.276,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201.0,0.13,17.0,18,3,16.67,4.45 (0.69-8.21),15,83.33,4.56 (3.75-5.37)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
