tipo_celular,module_size,BAZ1A_MM,BAZ1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.207,74.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,518.0,0.199,76.0,131,8,6.11,3.72 (3.00-4.43),123,93.89,3.03 (2.74-3.32)
astrocytes 5,1656.0,0.114,47.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,666.0,0.153,39.0,127,6,4.72,1.66 (0.86-2.46),121,95.28,4.00 (3.66-4.33)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.179,51.0,141,10,7.09,2.17 (1.59-2.75),131,92.91,3.03 (2.78-3.28)
oligodendrocytes 20,295.0,0.408,94.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,3052.0,0.032,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.052,12.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,708.0,0.089,40.0,32,9,28.12,1.21 (0.56-1.85),23,71.88,4.21 (3.35-5.07)
oligodendrocytes 10,2107.0,0.417,98.0,358,77,21.51,2.16 (1.90-2.42),281,78.49,4.52 (4.35-4.70)
connective tissue cells 21,86.0,0.332,82.0,7,1,14.29,2.95 (NA-NA),6,85.71,3.25 (2.37-4.12)
astrocytes 15,1768.0,0.117,77.0,105,21,20.0,1.52 (1.23-1.81),84,80.0,3.68 (3.33-4.03)
oligodendrocytes 16,85.0,0.183,34.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.211,0.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,787.0,0.135,21.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.12,62.0,238,17,7.14,2.75 (2.24-3.25),221,92.86,3.72 (3.49-3.95)
microglia 1,480.0,0.169,40.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98)
oligodendrocytes 3,854.0,0.086,45.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.097,4.0,200,10,5.0,3.88 (2.81-4.95),190,95.0,3.60 (3.33-3.88)
