tipo_celular,module_size,RBMS1_MM,RBMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.242,85.0,97,1,1.03,NA,96,98.97,3.06 (2.66-3.45)
T cells 18,388.0,0.416,98.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,156.0,0.185,73.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.153,40.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,599.0,0.358,94.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,795.0,0.075,12.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,132.0,0.441,92.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.257,60.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.131,42.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.054,22.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,218.0,0.332,67.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.202,35.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,367.0,0.136,45.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.122,52.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,255.0,0.248,42.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,161.0,0.152,36.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.187,91.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
