tipo_celular,module_size,SRM_MM,SRM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.089,3.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,703.0,0.08,4.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.171,39.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.348,73.0,455,5,1.1,0.78 (0.43-1.13),450,98.9,4.40 (4.21-4.58)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.142,73.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.129,37.0,182,1,0.55,1.32 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,39.0,0.247,16.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
