tipo_celular,module_size,MIOS_MM,MIOS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.193,34.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.109,24.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.165,91.0,353,24,6.8,1.84 (1.34-2.35),329,93.2,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,714.0,0.24,76.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,685.0,0.109,35.0,135,17,12.59,2.54 (1.86-3.21),118,87.41,3.30 (2.97-3.64)
da like neurons 11,140.0,0.113,13.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.171,76.0,125,2,1.6,NA,123,98.4,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,16,5.8,2.10 (1.52-2.68),260,94.2,3.65 (3.43-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.37,63.0,1,1,100.0,6.09 (NA-NA),0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.167,38.0,163,13,7.98,3.43 (2.95-3.91),150,92.02,3.74 (3.45-4.02)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
