tipo_celular,module_size,SNX30_MM,SNX30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.208,78.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22)
T cells 18,349.0,0.202,56.0,68,12,17.65,2.96 (1.86-4.06),56,82.35,4.79 (4.20-5.38)
astrocytes 5,165.0,0.091,3.0,51,2,3.92,5.72 (4.51-6.93),49,96.08,5.33 (4.63-6.03)
oligodendrocyte progenitor cells 7,229.0,0.194,50.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,567.0,0.177,44.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,637.0,0.071,8.0,91,16,17.58,1.75 (1.06-2.45),75,82.42,5.41 (4.98-5.84)
da like neurons 11,145.0,0.458,98.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.107,16.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,2090.0,0.123,28.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.245,74.0,48,2,4.17,3.56 (-1.88-9.00),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,708.0,0.168,71.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29)
oligodendrocytes 10,1277.0,0.105,49.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.049,16.0,96,11,11.46,3.10 (2.35-3.84),85,88.54,3.70 (3.19-4.20)
oligodendrocytes 16,71.0,0.183,48.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.294,54.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,1807.0,0.123,15.0,104,12,11.54,2.40 (1.42-3.38),92,88.46,2.92 (2.63-3.21)
oligodendrocytes 0,1186.0,0.171,87.0,300,13,4.33,4.86 (3.83-5.89),287,95.67,3.74 (3.53-3.94)
microglia 1,346.0,0.154,55.0,43,2,4.65,3.95 (2.83-5.06),41,95.35,3.76 (3.22-4.29)
oligodendrocytes 3,681.0,0.126,74.0,87,9,10.34,1.87 (0.92-2.81),78,89.66,2.67 (2.40-2.95)
oligodendrocytes 2,921.0,0.136,46.0,200,16,8.0,3.99 (3.15-4.83),184,92.0,3.59 (3.31-3.87)
