tipo_celular,module_size,NLGN4X_MM,NLGN4X_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.087,5.0,58,18,31.03,3.06 (2.52-3.60),40,68.97,4.71 (4.24-5.19)
oligodendrocyte progenitor cells 7,436.0,0.135,54.0,219,55,25.11,5.68 (5.17-6.19),164,74.89,5.03 (4.69-5.37)
GABA neurons expressing GLU receptors 22,703.0,0.184,50.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,300.0,0.266,92.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,209.0,0.133,31.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.123,28.0,237,8,3.38,4.20 (2.68-5.72),229,96.62,4.42 (4.18-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.247,67.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,1300.0,0.14,19.0,306,78,25.49,4.38 (3.86-4.91),228,74.51,5.43 (5.14-5.71)
astrocytes 8,727.0,0.091,39.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254.0,0.254,42.0,37,19,51.35,4.08 (3.29-4.88),18,48.65,5.07 (4.30-5.84)
oligodendrocytes 10,1277.0,0.043,7.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.137,87.0,105,7,6.67,1.61 (0.93-2.28),98,93.33,3.34 (2.99-3.68)
oligodendrocytes 16,149.0,0.206,51.0,70,14,20.0,6.11 (5.31-6.91),56,80.0,5.50 (4.94-6.07)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,47.0,0.245,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201.0,0.122,11.0,18,6,33.33,3.00 (2.56-3.44),12,66.67,5.46 (4.43-6.49)
oligodendrocytes 0,309.0,0.263,94.0,30,3,10.0,5.51 (5.51-5.51),27,90.0,6.14 (5.49-6.80)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.08,35.0,15,2,13.33,7.70 (NA-NA),13,86.67,2.95 (1.68-4.21)
oligodendrocytes 2,804.0,0.142,37.0,84,3,3.57,1.23 (0.23-2.23),81,96.43,2.76 (2.42-3.10)
