tipo_celular,module_size,NCL_MM,NCL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.217,48.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,506.0,0.226,62.0,225,30,13.33,2.65 (2.03-3.26),195,86.67,3.76 (3.50-4.03)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.165,39.0,251,1,0.4,4.08 (NA-NA),250,99.6,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.238,61.0,262,25,9.54,3.13 (2.32-3.93),237,90.46,4.26 (4.01-4.52)
GLU like neurons 17,637.0,0.196,63.0,91,14,15.38,2.00 (1.03-2.96),77,84.62,5.21 (4.74-5.67)
da like neurons 11,1220.0,0.194,55.0,410,21,5.12,3.34 (2.55-4.13),389,94.88,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,73.0,0.206,78.0,16,4,25.0,3.51 (2.93-4.09),12,75.0,1.75 (0.59-2.92)
endothelial cells 9,559.0,0.219,68.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,938.0,0.116,44.0,169,17,10.06,2.85 (1.95-3.75),152,89.94,3.54 (3.32-3.76)
GABA like neurons 14,2402.0,0.238,53.0,455,52,11.43,2.53 (2.07-2.98),403,88.57,4.62 (4.44-4.81)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,55,19.93,2.15 (1.90-2.40),221,80.07,4.00 (3.76-4.24)
oligodendrocytes 10,483.0,0.294,81.0,129,6,4.65,4.18 (3.17-5.20),123,95.35,3.39 (2.98-3.80)
connective tissue cells 21,125.0,0.224,17.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.138,6.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,409.0,0.194,78.0,235,9,3.83,2.32 (1.52-3.12),226,96.17,4.07 (3.82-4.32)
astrocytes microglia 23,63.0,0.368,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.152,39.0,252,37,14.68,2.10 (1.55-2.66),215,85.32,4.47 (4.23-4.70)
microglia 1,406.0,0.135,30.0,278,3,1.08,5.27 (5.03-5.51),275,98.92,4.35 (4.08-4.63)
oligodendrocytes 3,457.0,0.09,35.0,345,12,3.48,3.64 (2.85-4.42),333,96.52,4.29 (4.08-4.51)
oligodendrocytes 2,528.0,0.247,71.0,175,11,6.29,3.13 (2.03-4.22),164,93.71,4.46 (4.10-4.82)
