tipo_celular,module_size,CDK10_MM,CDK10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.072,3.0,136,2,1.47,3.07 (0.90-5.23),134,98.53,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.45,99.0,24,7,29.17,0.70 (0.26-1.13),17,70.83,2.76 (2.31-3.21)
GLU like neurons 17,1247.0,0.101,26.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,215.0,0.172,44.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.182,69.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.063,38.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.038,6.0,105,20,19.05,2.20 (1.55-2.85),85,80.95,3.48 (3.11-3.84)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.286,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.142,46.0,104,17,16.35,1.73 (1.23-2.23),87,83.65,3.11 (2.81-3.40)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
