tipo_celular,module_size,ERRFI1_MM,ERRFI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.119,55.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,666.0,0.199,72.0,127,31,24.41,4.00 (3.31-4.68),96,75.59,3.76 (3.37-4.14)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.032,7.0,33,5,15.15,3.40 (2.80-4.01),28,84.85,2.60 (2.04-3.16)
GABA like neurons 14,3052.0,0.152,61.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577.0,0.088,52.0,83,5,6.02,2.15 (1.34-2.97),78,93.98,3.34 (2.87-3.81)
oligodendrocyte progenitor cells 12,3303.0,0.083,57.0,276,17,6.16,2.09 (1.55-2.64),259,93.84,3.67 (3.45-3.89)
oligodendrocytes 10,806.0,0.045,6.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,84.0,0.318,72.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.058,21.0,105,10,9.52,1.57 (0.96-2.18),95,90.48,3.40 (3.06-3.75)
oligodendrocytes 16,78.0,0.214,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.318,53.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,1807.0,0.168,88.0,104,9,8.65,1.51 (0.82-2.20),95,91.35,3.00 (2.72-3.29)
oligodendrocytes 0,187.0,0.163,48.0,14,1,7.14,5.16 (NA-NA),13,92.86,5.56 (4.90-6.22)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.071,25.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.17,94.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
