tipo_celular,module_size,PTPRN2_MM,PTPRN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.097,7.0,266,37,13.91,2.80 (2.35-3.25),229,86.09,4.39 (4.17-4.60)
oligodendrocyte progenitor cells 7,436.0,0.198,82.0,219,11,5.02,4.93 (4.60-5.27),208,94.98,5.23 (4.92-5.53)
GABA neurons expressing GLU receptors 22,459.0,0.218,72.0,165,6,3.64,1.93 (1.24-2.61),159,96.36,5.24 (4.91-5.57)
GLU like neurons 17,1247.0,0.168,71.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30)
da like neurons 11,191.0,0.319,60.0,93,14,15.05,3.95 (3.27-4.63),79,84.95,6.04 (5.63-6.45)
GABA neurons expressing GABA receptors 13,265.0,0.112,19.0,78,29,37.18,3.97 (3.34-4.59),49,62.82,4.53 (4.00-5.05)
endothelial cells 9,338.0,0.171,65.0,191,7,3.66,3.36 (2.78-3.94),184,96.34,3.91 (3.68-4.14)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.395,100.0,306,27,8.82,2.96 (2.36-3.56),279,91.18,5.37 (5.11-5.64)
astrocytes 8,520.0,0.112,48.0,288,38,13.19,3.41 (3.04-3.79),250,86.81,4.31 (4.09-4.53)
oligodendrocyte progenitor cells 12,153.0,0.562,99.0,27,3,11.11,3.50 (0.93-6.07),24,88.89,5.13 (4.12-6.15)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,118.0,0.241,17.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,261.0,0.69,100.0,8,3,37.5,1.64 (-0.94-4.21),5,62.5,5.21 (3.18-7.24)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.113,44.0,95,19,20.0,4.79 (4.19-5.38),76,80.0,4.86 (4.34-5.38)
astrocytes microglia 23,80.0,0.246,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.126,19.0,104,13,12.5,1.88 (1.23-2.53),91,87.5,3.02 (2.72-3.31)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
