tipo_celular,module_size,ITM2C_MM,ITM2C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.098,11.0,225,17,7.56,2.72 (1.95-3.50),208,92.44,3.69 (3.43-3.95)
astrocytes 5,328.0,0.366,92.0,128,3,2.34,2.68 (2.59-2.78),125,97.66,3.60 (3.25-3.95)
oligodendrocyte progenitor cells 7,628.0,0.432,99.0,164,9,5.49,3.72 (3.02-4.43),155,94.51,4.11 (3.77-4.46)
GABA neurons expressing GLU receptors 22,848.0,0.325,80.0,262,33,12.6,4.06 (3.31-4.81),229,87.4,4.18 (3.92-4.44)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.243,69.0,410,17,4.15,3.46 (2.80-4.11),393,95.85,4.28 (4.09-4.48)
GABA neurons expressing GABA receptors 13,265.0,0.131,35.0,78,2,2.56,3.00 (2.38-3.62),76,97.44,4.41 (3.98-4.83)
endothelial cells 9,586.0,0.272,62.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.538,91.0,455,28,6.15,2.23 (1.57-2.89),427,93.85,4.51 (4.33-4.69)
astrocytes 8,603.0,0.168,85.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26)
oligodendrocyte progenitor cells 12,1049.0,0.32,92.0,235,12,5.11,3.74 (2.96-4.52),223,94.89,3.83 (3.59-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.168,64.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.125,52.0,235,7,2.98,3.11 (1.98-4.25),228,97.02,4.01 (3.76-4.27)
astrocytes microglia 23,166.0,0.276,45.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,208.0,0.297,82.0,173,2,1.16,3.89 (1.36-6.43),171,98.84,3.79 (3.49-4.10)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
