tipo_celular,module_size,POMP_MM,POMP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.185,65.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.091,4.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.217,62.0,410,5,1.22,2.61 (1.57-3.65),405,98.78,4.28 (4.09-4.46)
GABA neurons expressing GABA receptors 13,75.0,0.17,55.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,916.0,0.316,74.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,358.0,0.179,60.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.426,82.0,455,17,3.74,1.81 (1.22-2.41),438,96.26,4.48 (4.30-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.112,61.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.193,87.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139.0,0.282,43.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,66.0,0.248,68.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.168,59.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,134.0,0.369,77.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.11,16.0,252,14,5.56,1.58 (0.96-2.19),238,94.44,4.29 (4.05-4.53)
microglia 1,406.0,0.113,22.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,457.0,0.11,47.0,345,6,1.74,2.66 (2.05-3.28),339,98.26,4.31 (4.10-4.52)
oligodendrocytes 2,526.0,0.208,31.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
