tipo_celular,module_size,CHL1_MM,CHL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.214,47.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,628.0,0.089,3.0,164,3,1.83,3.17 (1.32-5.02),161,98.17,4.11 (3.78-4.44)
GABA neurons expressing GLU receptors 22,192.0,0.157,65.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,489.0,0.259,87.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,289.0,0.214,66.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,265.0,0.167,55.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338.0,0.08,20.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.091,8.0,306,10,3.27,1.79 (1.04-2.54),296,96.73,5.26 (5.01-5.51)
astrocytes 8,279.0,0.363,93.0,78,5,6.41,2.19 (1.84-2.53),73,93.59,4.49 (4.07-4.90)
oligodendrocyte progenitor cells 12,411.0,0.471,97.0,103,1,0.97,4.39 (NA-NA),102,99.03,5.56 (5.17-5.95)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.344,69.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.219,97.0,122,9,7.38,1.12 (0.04-2.19),113,92.62,4.15 (3.77-4.54)
astrocytes microglia 23,166.0,0.31,59.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,255.0,0.07,0.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
