tipo_celular,module_size,GOLGA7_MM,GOLGA7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.13,31.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,41,11.61,2.37 (1.90-2.85),312,88.39,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,567.0,0.149,30.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.123,31.0,25,3,12.0,1.00 (0.02-1.97),22,88.0,5.25 (3.93-6.57)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.088,9.0,74,2,2.7,6.60 (3.30-9.90),72,97.3,5.42 (4.85-5.98)
oligodendrocytes 20,250.0,0.142,29.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.172,32.0,455,47,10.33,2.67 (2.17-3.16),408,89.67,4.58 (4.40-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.034,4.0,235,16,6.81,3.94 (3.16-4.72),219,93.19,3.82 (3.57-4.06)
oligodendrocytes 10,1277.0,0.064,20.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.122,2.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,448.0,0.087,32.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82)
astrocytes microglia 23,96.0,0.381,82.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.139,92.0,238,9,3.78,2.96 (2.11-3.81),229,96.22,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.157,94.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,528.0,0.171,30.0,175,20,11.43,3.30 (2.72-3.88),155,88.57,4.53 (4.15-4.91)
