tipo_celular,module_size,CEP120_MM,CEP120_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.129,8.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,518.0,0.212,81.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,30,8.5,2.58 (2.03-3.13),323,91.5,4.04 (3.85-4.23)
GABA neurons expressing GLU receptors 22,400.0,0.174,34.0,24,8,33.33,2.06 (1.00-3.12),16,66.67,2.20 (1.63-2.78)
GLU like neurons 17,1316.0,0.141,66.0,101,3,2.97,3.28 (2.52-4.03),98,97.03,3.04 (2.68-3.41)
da like neurons 11,71.0,0.347,73.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.097,24.0,297,8,2.69,3.68 (2.90-4.46),289,97.31,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.034,9.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.104,20.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.146,98.0,276,23,8.33,2.81 (2.17-3.46),253,91.67,3.62 (3.39-3.85)
oligodendrocytes 10,2107.0,0.091,24.0,358,35,9.78,2.48 (1.91-3.05),323,90.22,4.05 (3.86-4.24)
connective tissue cells 21,110.0,0.306,71.0,13,1,7.69,3.69 (NA-NA),12,92.31,3.07 (2.17-3.96)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.112,4.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.226,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.141,94.0,238,6,2.52,2.24 (1.03-3.46),232,97.48,3.67 (3.45-3.89)
microglia 1,1615.0,0.106,45.0,161,12,7.45,1.98 (0.82-3.13),149,92.55,3.39 (3.12-3.66)
oligodendrocytes 3,854.0,0.069,25.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,1630.0,0.129,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
