tipo_celular,module_size,TTC39C_MM,TTC39C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.354,96.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,322.0,0.126,24.0,58,4,6.9,3.67 (2.56-4.79),54,93.1,4.22 (3.77-4.67)
oligodendrocyte progenitor cells 7,4285.0,0.177,97.0,353,7,1.98,2.21 (1.36-3.06),346,98.02,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.117,42.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,209.0,0.3,78.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.087,11.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65)
astrocytes 8,140.0,0.151,60.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.097,71.0,276,3,1.09,3.18 (2.57-3.80),273,98.91,3.55 (3.33-3.77)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.169,63.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,43.0,0.301,20.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA)
astrocytes 4,1807.0,0.133,29.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
