tipo_celular,module_size,PRICKLE2_MM,PRICKLE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.265,87.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,200.0,0.094,14.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,459.0,0.236,76.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,489.0,0.14,52.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,191.0,0.385,74.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.412,95.0,120,6,5.0,2.35 (1.93-2.77),114,95.0,4.74 (4.43-5.06)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.254,71.0,306,8,2.61,1.53 (0.90-2.16),298,97.39,5.24 (4.98-5.49)
astrocytes 8,279.0,0.354,88.0,78,5,6.41,2.19 (1.84-2.53),73,93.59,4.49 (4.07-4.90)
oligodendrocyte progenitor cells 12,143.0,0.478,86.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.15,6.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,208.0,0.321,66.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.096,26.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,112.0,0.141,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.176,46.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
