tipo_celular,module_size,TMCC3_MM,TMCC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.324,87.0,102,2,1.96,1.45 (0.47-2.42),100,98.04,3.54 (3.18-3.91)
T cells 18,349.0,0.241,68.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,9,2.55,0.87 (0.39-1.34),344,97.45,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.332,99.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.137,41.0,91,7,7.69,0.72 (0.28-1.15),84,92.31,4.98 (4.52-5.45)
da like neurons 11,265.0,0.25,74.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.271,70.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,403.0,0.089,38.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,3052.0,0.08,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.222,78.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,1277.0,0.084,34.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.11,2.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553.0,0.108,33.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,161.0,0.303,51.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.142,44.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,480.0,0.138,22.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,1003.0,0.136,79.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,131.0,0.192,56.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
