tipo_celular,module_size,SRRM2_MM,SRRM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.175,30.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393,0.047,1.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,328,0.196,64.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448,0.245,85.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069,0.166,51.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66)
GLU like neurons 17,1247,0.172,73.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,215,0.251,66.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,93,0.182,71.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,586,0.136,31.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,938,0.079,27.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76)
GABA like neurons 14,1300,0.078,6.0,306,2,0.65,1.08 (-0.63-2.78),304,99.35,5.13 (4.87-5.39)
astrocytes 8,603,0.137,78.0,89,11,12.36,1.50 (1.10-1.90),78,87.64,2.99 (2.61-3.37)
oligodendrocyte progenitor cells 12,143,0.387,24.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.235,79.0,358,44,12.29,1.87 (1.53-2.20),314,87.71,4.22 (4.03-4.40)
connective tissue cells 21,92,0.143,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.115,75.0,105,28,26.67,1.92 (1.54-2.31),77,73.33,3.66 (3.28-4.04)
oligodendrocytes 16,87,0.139,9.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.092,18.0,182,8,4.4,1.83 (1.33-2.34),174,95.6,3.71 (3.46-3.97)
astrocytes microglia 23,166,0.232,27.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,201,0.204,72.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,613,0.127,34.0,127,20,15.75,2.59 (2.12-3.05),107,84.25,3.17 (2.67-3.67)
microglia 1,315,0.057,2.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,357,0.149,80.0,127,7,5.51,3.31 (2.87-3.76),120,94.49,3.11 (2.76-3.46)
oligodendrocytes 2,526,0.111,6.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
