tipo_celular,module_size,RAB4A_MM,RAB4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.28,86.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624,0.094,9.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.103,17.0,166,4,2.41,0.96 (-0.08-1.99),162,97.59,3.46 (3.22-3.71)
oligodendrocyte progenitor cells 7,4285,0.149,71.0,353,25,7.08,1.87 (1.39-2.35),328,92.92,4.09 (3.91-4.28)
GABA neurons expressing GLU receptors 22,567,0.146,28.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.041,1.0,101,2,1.98,2.95 (2.12-3.79),99,98.02,3.05 (2.70-3.41)
da like neurons 11,101,0.194,44.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,90,0.156,44.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96)
endothelial cells 9,338,0.061,4.0,191,6,3.14,3.41 (2.78-4.04),185,96.86,3.90 (3.67-4.14)
oligodendrocytes 20,938,0.135,54.0,169,22,13.02,2.84 (2.18-3.49),147,86.98,3.56 (3.33-3.79)
GABA like neurons 14,2402,0.233,51.0,455,41,9.01,2.66 (2.04-3.28),414,90.99,4.49 (4.30-4.67)
astrocytes 8,577,0.046,15.0,83,3,3.61,1.70 (0.08-3.32),80,96.39,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303,0.032,3.0,276,18,6.52,2.24 (1.80-2.68),258,93.48,3.66 (3.44-3.89)
oligodendrocytes 10,735,0.097,51.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,90,0.288,47.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1768,0.084,48.0,105,9,8.57,1.55 (1.05-2.04),96,91.43,3.38 (3.04-3.73)
oligodendrocytes 16,155,0.21,45.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,553,0.085,17.0,124,5,4.03,2.17 (-1.29-5.63),119,95.97,4.23 (3.84-4.62)
astrocytes microglia 23,132,0.234,10.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.152,51.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.115,20.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615,0.091,23.0,161,12,7.45,1.04 (0.51-1.56),149,92.55,3.50 (3.24-3.76)
oligodendrocytes 3,854,0.034,1.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,528,0.166,26.0,175,29,16.57,3.49 (3.02-3.96),146,83.43,4.56 (4.16-4.96)
