tipo_celular,module_size,NDUFA5_MM,NDUFA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.177,56.0,241,29,12.03,3.63 (3.40-3.87),212,87.97,4.14 (3.85-4.44)
astrocytes 5,1656.0,0.131,75.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,296.0,0.152,32.0,251,32,12.75,3.69 (3.50-3.88),219,87.25,4.15 (3.87-4.44)
GABA neurons expressing GLU receptors 22,848.0,0.301,76.0,262,16,6.11,2.73 (2.03-3.43),246,93.89,4.29 (4.04-4.55)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.245,69.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62)
GABA neurons expressing GABA receptors 13,67.0,0.186,54.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,338.0,0.155,60.0,191,6,3.14,2.69 (2.27-3.11),185,96.86,3.93 (3.71-4.16)
oligodendrocytes 20,233.0,0.148,26.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.403,80.0,455,80,17.58,3.51 (3.16-3.85),375,82.42,4.59 (4.38-4.80)
astrocytes 8,520.0,0.181,67.0,288,49,17.01,3.65 (3.37-3.93),239,82.99,4.32 (4.08-4.56)
oligodendrocyte progenitor cells 12,3303.0,0.063,31.0,276,15,5.43,2.13 (1.62-2.65),261,94.57,3.65 (3.43-3.87)
oligodendrocytes 10,806.0,0.259,72.0,261,41,15.71,3.74 (3.34-4.14),220,84.29,4.52 (4.24-4.80)
connective tissue cells 21,136.0,0.351,76.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401.0,0.044,11.0,96,2,2.08,2.56 (1.91-3.20),94,97.92,3.64 (3.18-4.10)
oligodendrocytes 16,121.0,0.199,38.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,729.0,0.142,45.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80)
astrocytes microglia 23,157.0,0.38,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,52.0,104,10,9.62,1.24 (0.77-1.72),94,90.38,3.05 (2.77-3.33)
oligodendrocytes 0,2078.0,0.089,9.0,238,4,1.68,1.60 (0.58-2.61),234,98.32,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.144,63.0,345,9,2.61,2.69 (2.12-3.27),336,97.39,4.33 (4.12-4.54)
oligodendrocytes 2,1630.0,0.156,79.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
