tipo_celular,module_size,ZBTB4_MM,ZBTB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.277,78.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282,0.156,34.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932,0.161,94.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285,0.122,29.0,353,56,15.86,2.06 (1.78-2.34),297,84.14,4.34 (4.17-4.52)
GABA neurons expressing GLU receptors 22,823,0.234,81.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23)
GLU like neurons 17,1247,0.21,86.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853,0.166,71.0,133,54,40.6,2.35 (2.04-2.67),79,59.4,4.05 (3.62-4.48)
GABA neurons expressing GABA receptors 13,200,0.239,91.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,303,0.105,25.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,275,0.104,14.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,2090,0.221,87.0,74,16,21.62,2.32 (2.04-2.60),58,78.38,3.13 (2.66-3.60)
astrocytes 8,1266,0.144,86.0,66,17,25.76,1.91 (1.28-2.54),49,74.24,3.79 (3.35-4.22)
oligodendrocyte progenitor cells 12,254,0.058,16.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,806,0.129,39.0,261,3,1.15,2.49 (1.32-3.66),258,98.85,4.39 (4.15-4.64)
connective tissue cells 21,95,0.251,32.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1401,0.079,44.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,82,0.194,45.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.134,55.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61)
astrocytes microglia 23,116,0.25,14.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,721,0.18,93.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.131,84.0,238,15,6.3,2.46 (1.99-2.93),223,93.7,3.73 (3.50-3.96)
microglia 1,958,0.082,10.0,290,10,3.45,2.71 (1.80-3.62),280,96.55,3.86 (3.63-4.10)
oligodendrocytes 3,457,0.05,7.0,345,6,1.74,2.46 (1.64-3.29),339,98.26,4.30 (4.09-4.51)
oligodendrocytes 2,921,0.123,27.0,200,4,2.0,2.39 (1.33-3.44),196,98.0,3.64 (3.38-3.91)
