tipo_celular,module_size,RMC1_MM,RMC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.141,32.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,727.0,0.125,35.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.169,67.0,18,7,38.89,0.63 (0.47-0.80),11,61.11,2.67 (1.87-3.48)
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.044,4.0,358,22,6.15,2.01 (1.16-2.87),336,93.85,4.03 (3.84-4.21)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.286,88.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.342,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.105,12.0,127,2,1.57,2.23 (1.48-2.99),125,98.43,3.07 (2.65-3.49)
microglia 1,1615.0,0.09,22.0,161,18,11.18,2.12 (1.11-3.14),143,88.82,3.45 (3.20-3.71)
oligodendrocytes 3,743.0,0.077,43.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.171,95.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
